Date,Time,Stop/Station,Passenger_Count,Vehicle_ID,Latitude,Longitude,Temperature (°C),Precipitation (mm),Humidity (%),Age_Group,Gender,Feedback
2023-08-24,13:34,Port Dickson,110,BUS097,5.107588416971095,119.19769602996173,24,3,50,18-24,Male,Train was overcrowded
2023-11-09,01:16,Cameron Highlands,115,BUS761,4.7983351129336524,115.27384716150829,20,3,84,18-24,Male,Seats were uncomfortable
2023-06-22,01:16,Kuala Lumpur,58,BUS286,1.4900393799819094,119.0360247105751,21,0,66,18-24,Female,Train was overcrowded
2022-03-14,01:33,Port Dickson,46,TRAIN42,5.620988531799041,106.84857614628083,13,2,74,25-40,Male,Poor signage at the station
2022-04-26,12:38,Kuching,142,TRAIN64,1.541118553689368,111.80951024838191,23,0,73,25-40,Male,Duplicate
2023-12-11,08:08,Johor Bahru,49,TRAIN36,4.771346641590082,117.65378216904473,18,2,71,40-60,Male,Seats were uncomfortable
2023-03-08,13:42,Port Dickson,52,BUS085,5.1430404787890165,106.63888988216885,24,3,75,25-40,Male,Missing value
2023-03-25,19:50,Georgetown,139,BUS352,4.55923118492415,103.47217312848522,24,2,95,25-40,Male,Train was overcrowded
2022-04-10,00:23,Kuching,52,BUS969,3.2396519300146887,105.2522456515624,21,3,66,18-24,Female,Poor signage at the station
2022-06-27,04:31,Kota Kinabalu,52,TRAIN26,4.634488859310061,105.30507685380692,20,0,78,40-60,Female,Train was overcrowded
2023-10-22,22:00,Kuala Lumpur,118,TRAIN75,4.315546204579279,117.99326199102451,14,1,69,25-40,Female,Train was overcrowded
2022-05-28,05:31,Ipoh,56,BUS640,4.571212626093944,115.6361978774842,11,2,55,18-24,Female,Duplicate
2023-02-28,15:19,Johor Bahru,119,TRAIN78,5.858504591503353,110.9817165514488,19,4,62,18-24,Male,Duplicate
2022-10-16,15:51,Port Dickson,115,TRAIN06,5.955826178310432,110.92831703492858,23,1,52,18-24,Male,Train was overcrowded
2022-09-23,12:45,Kota Kinabalu,50,TRAIN14,5.540468788940549,103.23404310442415,14,2,93,25-40,Male,Driver was friendly
2023-11-29,10:52,Georgetown,118,TRAIN01,3.8937794159207852,106.62199200218929,20,3,99,40-60,Female,Route was confusing
2023-10-02,09:16,Langkawi,122,TRAIN45,3.1305503790064018,104.16224971286522,22,3,84,25-40,Female,Outlier
2023-06-29,06:21,Kuala Lumpur,90,BUS368,6.269692396800087,108.35330394843061,17,3,72,18-24,Male,Cleanliness was lacking
2023-06-28,03:16,Malacca,102,TRAIN18,6.260574094640964,111.38360677186515,20,3,84,25-40,Female,Service was excellent
2023-12-16,00:01,Port Dickson,73,TRAIN97,5.881850507575146,103.36048210095063,11,3,55,40-60,Female,Service was excellent
2022-09-02,18:32,Langkawi,54,TRAIN71,6.306140864435639,116.37631568683024,22,0,81,40-60,Female,Outlier
2022-06-01,11:59,Port Dickson,135,BUS052,3.371558156243988,109.50683218212299,18,2,90,40-60,Female,Missing value
2023-11-07,18:18,Georgetown,140,BUS082,4.206723470211186,104.22950059977182,23,1,69,40-60,Male,Missing value
2023-05-26,22:15,Johor Bahru,32,TRAIN77,4.4193446938084024,112.45622718067696,16,2,88,25-40,Female,Station was well-maintained
2023-04-05,15:28,Georgetown,134,BUS928,5.307554034691702,100.65672076331967,17,2,86,18-24,Female,Cleanliness was lacking
2022-07-03,07:27,Cameron Highlands,93,BUS227,5.692929829602473,109.1511679813872,25,0,73,25-40,Female,Seats were uncomfortable
2022-01-29,12:13,Georgetown,145,BUS647,4.37315192522934,101.28003001567247,20,0,74,25-40,Male,Cleanliness was lacking
2022-05-09,18:14,Kuching,63,TRAIN05,6.41638574825841,114.04328530829929,19,3,89,40-60,Female,Duplicate
2022-05-09,14:20,Cameron Highlands,72,TRAIN65,2.3478755908792355,110.72445772246932,19,3,59,18-24,Female,Missing value
2022-02-23,07:55,Malacca,18,BUS343,3.4520694664143914,112.29079978948224,12,2,94,25-40,Female,Duplicate
2023-07-05,12:43,Kota Kinabalu,51,TRAIN30,1.3437526759608434,101.66874414901736,21,0,72,40-60,Female,Train was overcrowded
2023-05-04,21:27,Malacca,127,TRAIN50,6.891453546254676,104.5162017510053,21,1,68,40-60,Female,Missing value
2022-10-01,12:15,Kuching,65,BUS825,5.807949702704988,108.35696167776499,20,2,97,25-40,Female,Train was overcrowded
2022-12-02,23:11,Kuching,78,TRAIN86,1.741178472879778,116.68996978577616,22,0,99,25-40,Male,Cleanliness was lacking
2023-01-24,13:29,Johor Bahru,57,TRAIN03,3.0036228757213457,110.48466913883911,11,2,83,18-24,Male,Outlier
2023-09-10,14:18,Kuching,17,BUS118,4.205900498486166,108.52825821352637,29,0,96,18-24,Female,Poor signage at the station
2022-02-12,04:28,Georgetown,66,BUS746,2.779567486891123,106.71673421476312,18,2,67,25-40,Male,Driver was friendly
2023-03-19,01:49,Langkawi,95,TRAIN62,1.7074161113691275,104.63222440833401,14,1,78,18-24,Male,Train was overcrowded
2023-06-28,17:23,Malacca,96,TRAIN19,4.592322035704889,100.94000214962874,26,0,63,40-60,Male,Seats were uncomfortable
2022-09-15,16:41,Port Dickson,80,TRAIN20,2.341815401415454,104.77750942468417,19,4,63,25-40,Female,Driver was friendly
2022-11-18,16:02,Kuala Lumpur,29,TRAIN10,4.797476638956314,105.73039331583321,10,3,75,40-60,Male,Seats were uncomfortable
2022-02-27,15:17,Johor Bahru,80,TRAIN13,5.145186131838143,115.75880649944247,18,0,84,25-40,Female,Duplicate
2022-10-19,20:38,Port Dickson,106,TRAIN70,5.884665616050034,116.00912063952532,24,2,63,18-24,Male,Bus arrived on time
2022-04-30,00:06,Missing value,111,BUS013,3.679499622538555,107.53860187287435,18,3,76,18-24,Male,Cleanliness was lacking
2023-03-07,12:22,Langkawi,96,BUS897,5.189835226131921,100.50242202399792,24,2,83,40-60,Female,Delay in departure
2022-03-24,15:10,Johor Bahru,115,BUS363,1.2109123977626153,109.42282160901213,20,0,67,18-24,Female,Delay in departure
2022-04-02,02:40,Kuching,31,BUS993,4.785680875167136,117.97126836925293,19,2,99,40-60,Female,Delay in departure
2023-02-03,06:54,Port Dickson,149,TRAIN19,3.6073123520967485,114.59108206367071,23,0,75,25-40,Male,Route was confusing
2023-09-04,21:34,Malacca,77,TRAIN72,5.8544276147795085,101.53317402367053,28,0,93,18-24,Female,Service was excellent
2023-07-20,21:32,Kuching,79,BUS599,6.927337477445701,113.57998577376884,19,3,98,18-24,Male,Outlier
2023-09-26,10:44,Malacca,11,BUS896,2.7545849718438604,111.81473836369284,15,0,97,18-24,Female,Seats were uncomfortable
2022-03-26,03:41,Penang,117,TRAIN86,6.366662297216222,116.99253114062896,18,1,95,40-60,Male,Bus arrived on time
2022-07-23,07:27,Langkawi,113,TRAIN67,1.635942434667509,109.43849985055071,13,4,92,18-24,Male,Driver was friendly
2022-11-21,16:10,Ipoh,61,BUS140,3.7142998958424647,104.87453996898387,22,1,86,25-40,Male,Service was excellent
2022-02-17,04:17,Malacca,104,BUS880,5.171694335788536,117.14775493808506,20,0,79,18-24,Male,Train was overcrowded
2023-10-02,03:37,Johor Bahru,61,TRAIN06,6.17867504420955,115.29904546890437,17,4,56,25-40,Female,Missing value
2022-05-12,23:29,Penang,103,TRAIN52,2.327277081526078,113.16425623311507,21,2,90,40-60,Male,Delay in departure
2022-06-30,06:59,Port Dickson,142,BUS141,3.955800639876413,100.55593802055063,12,2,66,18-24,Female,Bus arrived on time
2022-05-24,11:02,Malacca,130,TRAIN21,6.855449139030261,108.17396816763939,16,1,79,18-24,Male,Station was well-maintained
2023-10-23,07:51,Langkawi,26,TRAIN98,5.423647509792812,102.78620803643773,12,3,53,40-60,Female,Poor signage at the station
2022-08-16,20:09,Langkawi,63,TRAIN95,3.364041741793986,109.23351757819886,19,4,64,18-24,Male,Delay in departure
2023-12-21,23:00,Kota Kinabalu,53,BUS268,3.985287549131061,118.0663297738364,18,4,69,25-40,Male,Poor signage at the station
2023-01-09,16:17,Cameron Highlands,94,TRAIN35,6.517908599290901,103.58519156547644,13,3,78,25-40,Female,Seats were uncomfortable
2023-07-15,08:51,Cameron Highlands,25,TRAIN75,3.920733413229442,108.26190421579102,10,2,96,18-24,Male,Poor signage at the station
2022-11-02,21:30,Malacca,107,BUS487,1.3485177417632508,106.63447659266672,21,0,85,40-60,Male,Seats were uncomfortable
2023-08-05,15:48,Kuching,34,BUS908,2.2281835713270426,100.61574095124732,23,2,85,18-24,Male,Route was confusing
2022-06-19,17:10,Langkawi,98,BUS990,1.022513147174045,103.250407601704,19,0,83,25-40,Male,Bus arrived on time
2023-11-07,17:03,Kuala Lumpur,114,TRAIN20,3.8813544911318085,108.75644027976763,15,2,59,40-60,Male,Outlier
2023-03-25,07:09,Port Dickson,101,BUS314,6.840432634688806,115.945114465236,17,4,87,18-24,Female,Duplicate
2022-04-06,03:07,Kuala Lumpur,71,BUS169,5.814830415525946,105.14284588256879,18,4,79,40-60,Male,Train was overcrowded
2022-07-17,16:34,Kuala Lumpur,141,BUS195,1.2477349232911277,112.34542393981965,29,0,52,18-24,Female,Cleanliness was lacking
2023-08-30,04:26,Kuala Lumpur,124,TRAIN43,6.585192548407314,107.88643177748858,19,2,64,40-60,Male,Duplicate
2022-09-14,04:06,Langkawi,54,BUS075,1.6678982405750333,111.48806772508996,18,0,57,40-60,Female,Route was confusing
2023-11-22,00:17,Ipoh,84,BUS594,1.1379835534423717,108.90510465787592,25,0,51,25-40,Male,Cleanliness was lacking
2022-10-20,23:54,Ipoh,147,BUS933,2.2695784871875757,114.93080105974195,16,2,92,18-24,Female,Route was confusing
2023-01-23,21:37,Missing value,127,TRAIN82,4.000967405504665,107.10043064639082,27,0,95,25-40,Female,Duplicate
2023-09-03,23:27,Johor Bahru,79,BUS924,1.466561239984648,119.13812058981779,23,0,60,40-60,Male,Cleanliness was lacking
2023-07-09,19:14,Port Dickson,145,BUS183,5.68813327689913,110.1412429806243,23,2,91,40-60,Male,Duplicate
2023-01-04,22:31,Kuala Lumpur,51,TRAIN74,1.1048888861703425,103.54274579201473,16,1,64,18-24,Male,Driver was friendly
2022-07-21,08:56,Kuching,120,TRAIN93,2.3089191095029844,113.30111183233464,14,1,52,18-24,Male,Delay in departure
2023-01-19,02:58,Penang,49,TRAIN67,4.590409079689044,107.7802749065432,14,3,70,40-60,Male,Route was confusing
2023-05-28,17:28,Cameron Highlands,45,BUS636,3.46344751985941,101.04032960199761,14,1,78,18-24,Female,Driver was friendly
2023-01-06,15:16,Cameron Highlands,116,BUS681,3.7624931522288314,106.38934828917805,24,2,98,18-24,Female,Cleanliness was lacking
2023-07-10,08:59,Port Dickson,38,TRAIN96,5.019920104205578,116.96715897778444,28,0,87,18-24,Female,Bus arrived on time
2023-01-19,23:44,Kuala Lumpur,127,BUS193,3.157805225460445,109.66726449353877,22,2,92,25-40,Female,Seats were uncomfortable
2022-01-24,07:12,Kuching,91,BUS761,2.443934900971777,108.13402402354549,13,4,56,25-40,Female,Train was overcrowded
2023-12-01,00:20,Kota Kinabalu,47,BUS989,6.509342584878995,118.2493347334387,14,2,94,18-24,Male,Bus arrived on time
2022-05-11,11:11,Kuching,11,TRAIN29,3.0711285465509635,112.56794223781333,24,1,62,40-60,Female,Duplicate
2023-01-13,08:00,Port Dickson,40,BUS698,3.868125630114056,106.9962730094877,14,3,56,18-24,Female,Delay in departure
2022-04-09,20:45,Cameron Highlands,44,BUS097,5.919753314151754,111.09591563091715,22,0,97,40-60,Female,Duplicate
2023-07-29,13:37,Kuala Lumpur,126,BUS504,4.7968099551742105,108.47547728637099,29,0,61,40-60,Female,Station was well-maintained
2022-05-04,15:39,Cameron Highlands,13,TRAIN82,4.722552699706806,106.43842898096602,13,1,72,25-40,Male,Missing value
2023-08-18,18:04,Langkawi,99,BUS539,4.832906207246104,112.11088251703038,19,3,72,40-60,Male,Service was excellent
2022-05-29,14:12,Georgetown,11,TRAIN52,5.86223369432975,119.60924354274958,12,4,72,40-60,Male,Service was excellent
2022-07-29,23:37,Ipoh,108,BUS826,4.1551571169759445,107.69082945444728,17,3,99,40-60,Female,Route was confusing
2023-07-17,16:04,Johor Bahru,59,TRAIN99,1.4551267138337416,101.03286994779783,16,3,84,25-40,Female,Missing value
2023-02-16,09:36,Ipoh,113,TRAIN13,4.993078230096383,107.18916267912714,20,1,65,40-60,Male,Station was well-maintained
2022-02-11,16:18,Langkawi,50,TRAIN72,1.989972167791102,104.4596791240896,14,3,78,18-24,Female,Missing value
2022-02-28,05:30,Penang,92,BUS296,5.972241017001284,106.8083204964491,29,0,74,25-40,Female,Outlier
2023-12-07,21:46,Kuala Lumpur,51,TRAIN95,1.9392557642463244,110.14712336554857,22,3,61,18-24,Male,Duplicate
2022-02-06,03:48,Johor Bahru,64,TRAIN35,6.738689727989252,101.46266579181295,12,1,95,25-40,Male,Driver was friendly
2022-03-28,00:49,Ipoh,102,BUS158,5.262110500398782,101.83679399269556,18,3,91,25-40,Female,Bus arrived on time
2022-02-13,09:50,Langkawi,137,TRAIN64,2.5803165127092855,111.24393670703822,18,3,60,40-60,Female,Seats were uncomfortable
2022-01-12,01:48,Johor Bahru,51,BUS054,2.2447559326665125,117.38090150403286,27,0,57,25-40,Male,Service was excellent
2022-11-04,17:12,Kuching,48,TRAIN69,6.269540422112709,109.30810373242824,25,0,98,18-24,Male,Route was confusing
2022-03-22,06:51,Malacca,35,TRAIN48,2.3835887458740657,103.71796988240838,16,1,87,40-60,Male,Driver was friendly
2022-02-02,04:35,Ipoh,63,TRAIN30,3.4711675279766228,118.55541043571384,18,2,68,18-24,Male,Driver was friendly
2022-07-02,06:36,Port Dickson,101,BUS893,3.761909867301343,112.90230005256846,23,0,71,40-60,Female,Outlier
2022-05-09,18:19,Kota Kinabalu,87,TRAIN94,1.7462073683676025,112.6504253951247,12,1,78,18-24,Male,Duplicate
2022-10-03,06:44,Langkawi,127,TRAIN27,5.412771485924254,115.94751083355811,18,3,57,40-60,Female,Missing value
2022-06-24,03:14,Cameron Highlands,146,BUS079,1.6460286270221502,110.31786626469125,28,0,82,25-40,Male,Route was confusing
2023-07-09,19:56,Georgetown,56,BUS788,6.12609292169222,117.9512205964815,12,4,50,25-40,Female,Missing value
2023-01-07,17:03,Kuala Lumpur,128,BUS316,4.190580387765014,106.04862706597602,21,1,84,25-40,Male,Duplicate
2022-07-04,03:33,Port Dickson,95,TRAIN22,4.700110304333519,118.72202907497676,14,4,93,25-40,Male,Service was excellent
2023-03-21,21:51,Port Dickson,32,TRAIN58,5.97314624482393,104.24885491919582,17,0,87,25-40,Male,Outlier
2023-05-04,22:27,Kuala Lumpur,24,TRAIN69,3.0175299343775572,103.21825209134111,24,4,78,40-60,Male,Outlier
2023-08-13,04:56,Johor Bahru,10,BUS339,6.790865812617771,105.66367419532867,19,2,79,18-24,Female,Duplicate
2022-10-14,21:39,Kota Kinabalu,147,TRAIN05,4.670811026484205,105.82460508909186,28,0,56,18-24,Female,Station was well-maintained
2022-10-08,10:10,Penang,43,TRAIN20,1.7454571336234241,109.45148719046256,12,3,54,25-40,Female,Bus arrived on time
2023-09-30,17:29,Ipoh,50,BUS369,2.7266259509506465,102.20797601955977,21,1,59,25-40,Female,Seats were uncomfortable
2023-05-31,18:16,Cameron Highlands,145,BUS867,3.977565718481034,117.8683072627858,23,4,57,25-40,Male,Cleanliness was lacking
2022-04-05,00:36,Ipoh,27,BUS461,5.1084728050143,119.14724475009052,19,2,68,18-24,Female,Seats were uncomfortable
2022-08-15,02:59,Johor Bahru,136,TRAIN14,2.2129672578475663,102.57106298647615,18,4,94,25-40,Male,Driver was friendly
2022-09-27,13:01,Malacca,20,BUS208,3.5617848265568837,112.73093694243725,16,0,80,18-24,Male,Seats were uncomfortable
2022-10-24,02:02,Malacca,53,TRAIN52,1.6460780243327462,112.67773627097276,19,4,63,40-60,Female,Seats were uncomfortable
2022-11-25,19:52,Malacca,135,TRAIN23,2.083263139011013,105.77804873615088,23,1,95,18-24,Male,Train was overcrowded
2022-01-20,12:30,Georgetown,29,TRAIN33,5.548703381941928,117.9826209786492,16,4,75,25-40,Female,Train was overcrowded
2023-08-31,07:21,Ipoh,144,TRAIN46,4.6561736770394315,113.09474702352259,10,4,89,40-60,Female,Duplicate
2023-02-15,13:49,Cameron Highlands,15,BUS701,3.7134579471039393,105.07788936253242,19,3,84,18-24,Male,Seats were uncomfortable
2023-03-27,19:12,Ipoh,81,BUS611,1.0428100177510733,111.83381866924142,10,2,97,25-40,Male,Missing value
2022-09-06,17:00,Penang,34,TRAIN04,1.3967743716380157,105.92071556634103,19,4,91,25-40,Male,Cleanliness was lacking
2022-06-30,01:36,Georgetown,132,BUS066,5.581403242780094,103.15834191550178,10,3,95,18-24,Female,Station was well-maintained
2022-11-20,10:42,Port Dickson,51,TRAIN09,1.5630292521841622,106.95160149038692,12,4,70,18-24,Male,Driver was friendly
2022-09-18,00:28,Kuching,16,TRAIN23,5.626250206593837,110.7645017946477,21,4,93,25-40,Male,Cleanliness was lacking
2022-05-20,02:28,Kuching,130,BUS141,5.345009787326491,112.97333394849596,13,2,74,40-60,Male,Train was overcrowded
2023-08-22,01:13,Penang,61,BUS653,4.082403591925661,116.68127913474711,19,4,65,40-60,Male,Bus arrived on time
2023-04-07,19:47,Cameron Highlands,34,BUS091,3.1532910744405855,113.44128662901903,13,2,65,25-40,Male,Cleanliness was lacking
2023-09-14,17:36,Kuala Lumpur,41,BUS641,6.401389649265594,105.97821483484344,24,4,71,40-60,Female,Bus arrived on time
2023-11-28,07:53,Cameron Highlands,45,TRAIN53,2.0594979424818227,106.64392307756998,13,2,93,25-40,Male,Driver was friendly
2023-06-13,06:09,Langkawi,98,TRAIN86,6.130171700654053,111.10729198859772,19,4,56,40-60,Female,Seats were uncomfortable
2022-06-02,15:18,Kota Kinabalu,101,TRAIN77,5.580854240040717,116.86619121162212,10,2,80,18-24,Female,Train was overcrowded
2022-05-30,21:42,Kuala Lumpur,54,BUS505,5.00640958866884,110.46373189307603,19,0,72,40-60,Male,Cleanliness was lacking
2022-04-21,18:02,Malacca,110,TRAIN58,6.654221985383131,115.21681966680276,12,4,82,25-40,Male,Route was confusing
2022-01-26,17:35,Malacca,28,TRAIN89,6.976763884738311,111.40854502570345,13,3,99,25-40,Male,Train was overcrowded
2023-04-10,19:16,Langkawi,88,TRAIN74,5.735409778184145,112.8952991251729,19,4,68,18-24,Male,Poor signage at the station
2022-04-28,23:12,Port Dickson,17,BUS037,2.3725926651326446,117.12728274567988,18,4,60,18-24,Male,Seats were uncomfortable
2023-03-22,03:45,Penang,21,TRAIN02,5.109782261449221,108.78028990421485,24,3,79,18-24,Female,Duplicate
2023-08-19,02:20,Port Dickson,68,TRAIN46,3.4023019760468114,113.95085540853688,24,4,76,18-24,Male,Driver was friendly
2023-11-05,03:17,Kuala Lumpur,48,BUS602,1.7341198134166325,116.67893225713341,28,0,61,40-60,Male,Duplicate
2022-08-17,12:38,Langkawi,44,TRAIN59,6.092710051317243,112.96977821214938,19,3,76,18-24,Female,Seats were uncomfortable
2023-05-23,10:10,Kota Kinabalu,80,TRAIN18,3.0084180260192994,101.24699275745535,16,3,79,18-24,Female,Train was overcrowded
2022-05-02,05:42,Georgetown,141,BUS806,6.786711853830534,109.71889223774274,14,2,66,18-24,Male,Poor signage at the station
2022-11-23,08:47,Johor Bahru,133,BUS882,5.866698648329957,111.91023053348088,17,2,58,18-24,Female,Train was overcrowded
2023-04-15,04:51,Penang,101,BUS914,5.800318947745381,105.7925089100669,13,3,58,25-40,Male,Outlier
2022-10-15,22:37,Johor Bahru,35,BUS673,5.961517462363373,112.16170514209045,23,3,84,40-60,Female,Duplicate
2023-06-10,03:30,Penang,10,BUS506,3.448782828010642,118.07995414444426,14,4,78,18-24,Male,Bus arrived on time
2023-11-28,07:24,Kuala Lumpur,117,TRAIN38,1.4932513271128889,112.08701025921776,21,0,88,25-40,Male,Train was overcrowded
2022-06-02,15:15,Penang,135,BUS239,6.970292812483028,100.37862875104582,18,2,90,40-60,Female,Outlier
2023-08-15,10:19,Kota Kinabalu,122,TRAIN18,6.784903949258255,110.335479804426,12,1,50,40-60,Male,Driver was friendly
2022-02-11,13:39,Langkawi,53,TRAIN82,3.806206189607459,105.7286329732874,21,4,86,18-24,Male,Train was overcrowded
2022-10-02,05:39,Langkawi,117,BUS306,5.970930128897588,110.73886226620476,10,4,76,18-24,Male,Service was excellent
2023-07-07,18:07,Ipoh,52,TRAIN05,3.8641719099191403,114.54472638139724,16,0,64,40-60,Female,Train was overcrowded
2023-03-15,00:44,Cameron Highlands,103,BUS115,6.556876397511228,102.41289697876438,16,2,84,25-40,Female,Missing value
2022-07-27,07:52,Malacca,11,TRAIN98,3.4003621351306528,100.69062103093349,19,1,82,18-24,Female,Bus arrived on time
2022-06-16,08:47,Kota Kinabalu,33,TRAIN18,6.271923097421294,119.93042264417755,12,2,89,18-24,Female,Seats were uncomfortable
2022-04-22,20:36,Port Dickson,98,TRAIN59,1.0776892204955564,103.51590025273022,12,2,86,40-60,Female,Missing value
2022-12-16,10:16,Kuala Lumpur,99,TRAIN35,3.047812290762664,117.34320392807508,26,0,70,18-24,Male,Route was confusing
2022-05-10,20:26,Johor Bahru,79,BUS709,4.698789935825172,105.4329581914824,18,4,53,25-40,Female,Station was well-maintained
2022-08-05,08:16,Kuala Lumpur,90,TRAIN26,6.129070703047493,111.49018230881215,15,0,81,18-24,Female,Route was confusing
2023-01-17,14:32,Kuching,105,TRAIN20,1.5321082824751031,106.77228912141858,15,2,64,40-60,Female,Outlier
2022-01-25,20:23,Kuching,107,TRAIN85,1.448017654028523,103.79325441232537,24,1,51,18-24,Female,Route was confusing
2022-03-09,15:44,Penang,41,TRAIN55,5.727235621806267,109.39145366521512,12,4,81,40-60,Male,Station was well-maintained
2022-08-23,19:55,Langkawi,62,BUS712,4.396664649810307,115.78787079068246,28,0,82,18-24,Female,Delay in departure
2023-12-18,23:34,Cameron Highlands,74,BUS549,1.7915438030421222,115.40569149997737,22,3,99,18-24,Female,Bus arrived on time
2022-10-19,13:34,Georgetown,18,BUS429,3.8642859872564976,114.44614790368112,23,1,83,25-40,Female,Poor signage at the station
2023-12-28,17:23,Kuala Lumpur,34,BUS357,2.227799302506443,117.74604910801175,20,3,61,40-60,Male,Seats were uncomfortable
2023-12-03,13:48,Malacca,80,TRAIN93,5.508350568300379,104.88340165059697,12,2,60,40-60,Female,Route was confusing
2023-12-11,23:30,Port Dickson,85,TRAIN21,5.893642005791214,107.6480924582346,17,1,99,18-24,Female,Outlier
2023-12-29,05:57,Langkawi,72,TRAIN14,3.6437427605393693,103.88451811106553,17,1,62,18-24,Male,Seats were uncomfortable
2023-07-10,07:33,Port Dickson,111,BUS489,6.807132009651705,106.51327940021521,24,4,52,18-24,Male,Missing value
2022-02-02,17:34,Kota Kinabalu,81,TRAIN62,4.8123660690171635,104.52735604256856,15,2,55,40-60,Male,Delay in departure
2022-01-12,20:01,Penang,35,TRAIN31,2.557935831595633,100.79268624468139,22,0,65,18-24,Male,Duplicate
2023-09-09,04:21,Malacca,52,BUS446,1.3955805731285456,118.56771774319229,24,1,73,18-24,Male,Missing value
2022-08-01,08:50,Malacca,143,TRAIN24,5.1838857033954415,115.47509479886332,28,0,78,25-40,Male,Cleanliness was lacking
2022-05-19,01:54,Johor Bahru,142,TRAIN67,4.540009878240798,106.15734916526445,19,2,64,40-60,Female,Cleanliness was lacking
2023-11-26,03:48,Langkawi,52,BUS609,3.0589794712396468,112.9286866962248,12,2,92,18-24,Male,Outlier
2023-02-26,03:25,Langkawi,22,TRAIN22,5.4310238263109225,100.05036159062071,14,3,70,40-60,Male,Station was well-maintained
2023-09-30,05:01,Port Dickson,26,TRAIN90,1.232413474476485,115.2498855782986,16,0,90,18-24,Male,Missing value
2023-10-31,03:07,Langkawi,79,TRAIN89,6.113709055721214,110.60773433851381,21,0,55,40-60,Female,Missing value
2023-09-16,01:01,Cameron Highlands,23,BUS683,2.1439436340758427,102.58523265495819,11,4,70,40-60,Female,Delay in departure
2023-05-04,07:25,Ipoh,21,TRAIN92,1.1987568383847875,107.73536226333071,16,2,86,18-24,Female,Route was confusing
2023-06-24,04:13,Georgetown,116,TRAIN04,6.351526277201016,102.17675481134873,22,2,80,40-60,Male,Driver was friendly
2022-08-06,12:50,Malacca,49,TRAIN30,4.707570605533505,110.85013368754855,22,2,51,40-60,Male,Route was confusing
2023-10-26,00:43,Kota Kinabalu,10,TRAIN39,1.7465776501775783,105.62328700753899,19,2,87,25-40,Female,Cleanliness was lacking
2022-11-04,19:34,Ipoh,122,TRAIN78,4.765564709809255,113.68448563379889,17,4,72,40-60,Male,Missing value
2022-06-24,13:36,Malacca,129,BUS538,6.334203911062578,118.54630344748159,17,3,72,25-40,Female,Bus arrived on time
2022-05-29,16:48,Malacca,136,TRAIN30,4.5103247734621625,100.83835475579902,17,2,87,18-24,Male,Driver was friendly
2023-06-26,10:57,Kuching,104,TRAIN59,5.506323970792847,106.67779565016724,24,1,65,18-24,Female,Cleanliness was lacking
